Date,Day,Open for Day,High for Day,Low  for Day,Close for Day, %Chg for Day,Volume (thous) for Day
2005-02-17,Th,       1508.84,       1535.83,       1502.83,       1531.86,1526,            na
2005-02-16,We,       1494.09,       1509.13,       1486.82,       1508.84,996,            na
2005-02-15,Tu,       1518.85,       1527.37,       1491.14,       1493.96,-1579,            na
2005-02-14,Mo,       1496.91,       1523.77,       1496.91,       1517.93,1404,            na
2005-02-11,Fr,       1488.15,       1511.13,       1487.57,       1496.91,640,            na
2005-02-10,Th,       1485.36,       1495.92,       1475.17,       1487.39,188,            na
2005-02-09,We,       1479.93,       1497.64,       1468.54,       1484.60,303,            na
2005-02-08,Tu,       1434.72,       1480.48,       1434.72,       1480.11,3213,            na
2005-02-07,Mo,       1429.39,       1437.15,       1419.66,       1434.03,384,            na
2005-02-04,Fr,       1404.72,       1430.37,       1404.02,       1428.54,2095,            na
2005-02-03,Th,       1371.87,       1399.23,       1371.04,       1399.23,2058,            na
2005-02-02,We,       1373.97,       1379.88,       1359.07,       1371.02,-174,            na
2005-02-01,Tu,       1373.79,       1379.82,       1365.30,       1373.41,-28,            na
2005-01-31,Mo,       1381.80,       1387.36,       1370.59,       1373.79,-588,            na
2005-01-28,Fr,       1378.43,       1389.63,       1373.09,       1381.92,253,            na
2005-01-27,Th,       1355.32,       1380.20,       1355.32,       1378.43,1705,            na
2005-01-26,We,       1309.67,       1355.32,       1306.70,       1355.32,3486,            na
2005-01-25,Tu,       1310.63,       1321.77,       1307.49,       1309.67,-172,            na
2005-01-24,Mo,       1325.74,       1326.39,       1306.72,       1311.92,-1042,            na
2005-01-21,Fr,       1319.19,       1329.02,       1319.13,       1325.74,497,            na
2005-01-20,Th,       1336.96,       1336.96,       1313.42,       1319.19,-1329,            na
2005-01-19,We,       1343.57,       1352.26,       1333.21,       1336.96,-632,            na
2005-01-18,Tu,       1348.69,       1349.21,       1333.84,       1345.47,-239,            na
2005-01-17,Mo,       1344.70,       1351.81,       1341.37,       1348.69,297,            na
2005-01-14,Fr,       1348.46,       1353.04,       1330.99,       1344.70,-192,            na
2005-01-13,Th,       1344.11,       1347.29,       1331.88,       1347.29,237,            na
2005-01-12,We,       1351.58,       1358.55,       1336.89,       1344.11,-504,            na
2005-01-11,Tu,       1339.96,       1356.54,       1339.96,       1350.92,1224,            na
2005-01-10,Mo,       1309.83,       1335.62,       1309.45,       1334.58,1919,            na
2005-01-07,Fr,       1316.81,       1333.15,       1304.22,       1309.45,-545,            na
2005-01-06,Th,       1305.56,       1324.82,       1305.56,       1316.63,848,            na
2005-01-05,We,       1336.06,       1336.06,       1298.37,       1305.56,-2385,            na
2005-01-04,Tu,       1369.50,       1369.50,       1333.81,       1337.46,-2340,            na
2005-01-03,Mo,       1376.01,       1390.30,       1367.62,       1369.50,-427,            na
